BookingID,FlightID,PassengerID,SeatNumber,Status
1,112,13527,55,Checked-in
2,185,5391,22,Cancelled
3,1746,4091,92,Checked-in
4,367,4153,33,Checked-in
5,370,16317,94,Booked
6,552,17386,118,Cancelled
7,908,13234,28,Checked-in
8,979,4490,118,Cancelled
9,368,542,117,Checked-in
10,320,67,11,Booked
11,218,11950,39,Checked-in
12,729,6968,190,Cancelled
13,138,13045,21,Booked
14,700,5708,88,Checked-in
15,1425,8816,55,Cancelled
16,947,16181,12,Booked
17,1442,2691,122,Cancelled
18,871,2007,97,Booked
19,119,9398,175,Cancelled
20,1139,2432,24,Booked
21,1151,12008,110,Booked
22,579,7398,162,Cancelled
23,29,11869,196,Booked
24,1714,6367,95,Cancelled
25,260,12375,273,Checked-in
26,782,12358,97,Cancelled
27,1251,16899,115,Checked-in
28,1455,13419,43,Checked-in
29,1796,7609,4,Checked-in
30,1590,5644,161,Cancelled
31,1821,14509,195,Booked
32,1676,15323,78,Booked
33,888,8941,6,Booked
34,272,2093,200,Checked-in
35,748,16195,88,Cancelled
36,182,11802,39,Booked
37,174,7123,199,Cancelled
38,1192,12156,237,Checked-in
39,1389,4307,49,Cancelled
40,333,4120,21,Checked-in
41,1274,5161,21,Cancelled
42,1263,6505,52,Cancelled
43,922,14310,222,Booked
44,1925,7503,125,Checked-in
45,614,4656,46,Checked-in
46,1061,13526,191,Booked
47,1289,13136,21,Booked
48,1143,4847,27,Cancelled
49,1415,2229,77,Checked-in
50,853,15195,131,Checked-in
51,358,305,8,Cancelled
52,1278,10534,95,Cancelled
53,251,11106,26,Booked
54,1393,1555,192,Cancelled
55,1299,9825,177,Checked-in
56,1399,3382,45,Booked
57,71,2547,154,Cancelled
58,1150,5068,222,Checked-in
59,808,465,171,Booked
60,1299,5304,21,Booked
61,655,13807,74,Booked
62,723,5142,56,Booked
63,939,2201,96,Booked
64,417,4611,120,Booked
65,400,13637,176,Cancelled
66,1908,3599,157,Booked
67,1373,5559,137,Checked-in
68,152,2780,85,Checked-in
69,1553,1957,53,Checked-in
70,1772,6484,185,Cancelled
71,986,4727,76,Booked
72,801,4447,74,Booked
73,865,14881,30,Cancelled
74,739,3645,281,Cancelled
75,68,7443,86,Cancelled
76,1225,16159,164,Booked
77,1934,9176,101,Cancelled
78,1250,5063,211,Cancelled
79,952,2168,145,Booked
80,1972,12458,1,Booked
81,233,2125,8,Booked
82,346,7092,23,Booked
83,1873,5740,35,Booked
84,795,16342,58,Booked
85,1319,6174,198,Booked
86,700,10301,99,Cancelled
87,469,1888,82,Checked-in
88,599,36,37,Booked
89,1451,16695,91,Checked-in
90,783,16295,177,Checked-in
91,178,3919,145,Checked-in
92,165,17046,115,Booked
93,399,878,145,Cancelled
94,874,4393,13,Checked-in
95,331,12728,150,Booked
96,1152,12370,16,Checked-in
97,547,1668,291,Cancelled
98,398,8350,23,Checked-in
99,763,16671,145,Checked-in
100,1762,186,27,Checked-in
101,1181,6286,13,Checked-in
102,746,13140,194,Checked-in
103,105,15718,234,Booked
104,1588,4561,81,Cancelled
105,1621,12759,107,Booked
106,397,12482,29,Cancelled
107,1302,15829,118,Cancelled
108,584,7822,123,Checked-in
109,385,1087,62,Cancelled
110,1624,16587,129,Checked-in
111,350,8333,97,Booked
112,958,11187,164,Booked
113,164,419,108,Checked-in
114,1912,8097,61,Booked
115,404,1642,72,Checked-in
116,1176,12287,111,Checked-in
117,702,16804,251,Cancelled
118,592,11381,160,Cancelled
119,393,9173,23,Checked-in
120,1489,5322,127,Booked
121,1230,8691,117,Booked
122,1280,5323,205,Checked-in
123,1761,10532,47,Cancelled
124,373,560,119,Booked
125,1996,4632,105,Cancelled
126,275,638,12,Booked
127,1287,17392,143,Cancelled
128,1577,14731,33,Cancelled
129,1700,2988,203,Cancelled
130,1499,5557,86,Cancelled
131,10,5898,57,Cancelled
132,1766,15340,54,Cancelled
133,1209,7378,5,Booked
134,599,3527,234,Booked
135,653,381,157,Booked
136,1491,9239,217,Cancelled
137,938,12128,221,Checked-in
138,977,8955,58,Checked-in
139,1059,8996,20,Checked-in
140,166,12145,191,Booked
141,403,7893,13,Cancelled
142,1949,9509,166,Booked
143,67,2016,220,Cancelled
144,519,17064,99,Cancelled
145,875,1746,51,Cancelled
146,1,12379,42,Cancelled
147,348,2721,78,Cancelled
148,308,1405,168,Cancelled
149,1531,6920,127,Cancelled
150,24,101,26,Checked-in
151,1373,13484,156,Cancelled
152,236,2911,91,Booked
153,378,1037,293,Checked-in
154,1101,17299,1,Booked
155,384,12301,38,Booked
156,1239,2405,83,Cancelled
157,1780,8440,82,Cancelled
158,769,230,87,Cancelled
159,1953,12200,53,Checked-in
