FlightID,DepartureCity,ArrivalCity,DateTime,PassengerID,SeatNumber,BookingStatus,FlightCapacity,PassengerTotal
AI101,New York,London,2025-10-20T08:30:00,P001,12A,Active,250,180
AI101,New York,London,2025-10-20T08:30:00,P002,12B,Active,250,180
BA202,London,Paris,2025-10-20T10:15:00,P003,14C,Active,180,150
DL303,Los Angeles,New York,2025-10-20T06:00:00,P004,22D,Active,200,190
AF404,Paris,Berlin,2025-10-20T12:45:00,P005,10A,Active,150,130
LH505,Berlin,Tokyo,2025-10-20T14:30:00,P006,15B,Active,300,250
UA606,Chicago,San Francisco,2025-10-20T09:00:00,P007,18C,Active,220,200
JL707,Tokyo,Sydney,2025-10-20T17:00:00,P008,25D,Active,280,275
QF808,Sydney,Auckland,2025-10-20T19:15:00,P009,3F,Active,160,145
EK909,Dubai,New York,2025-10-20T23:45:00,P010,27A,InActive,350,320
